station,lat,long,alt,N_Rows,Mean_Mean_MAP,N_Mean_MAP
Abisko,68.3557,18.8206,388,5,30.786666667,5
Åda,58.9279,17.5358,5,5,54.826666667,5
Ånge-Parteboda D,62.5257,15.7694,140,4,40.208333333,4
Bjuröklubb A,64.4812,21.5791,40,5,50.491666667,5
Bollerup,55.4907,14.0476,55,5,56.62,5
Borås,57.7611,12.9493,135,5,91.81,5
Esrange,67.8911,21.0846,328,5,53.29,5
Falsterbo,55.3836,12.8203,5,5,45.098333333,5
Falun-Lugnet,60.619,15.6603,140,5,50.103833333,5
Finspång,58.7027,15.7817,55,3,53.525,3
Flahult,57.6898,14.1455,224,3,71.816666667,3
Forse,63.1466,17.0262,120,5,47.696666667,5
Gäddede A,64.5057,14.2238,550,5,62.358333333,5
Gävle-Åbyggeby,60.7285,17.1132,35,5,51.671666667,5
Gladhammar A,57.7071,16.4585,35,5,48.15,5
Gotska Sandön A,58.3943,19.1975,16,5,44.101666667,5
Grythyttan,59.7113,14.5301,185,5,68.701666667,5
Gustavsfors,60.1514,13.7975,190,5,62.73,5
Halmstad,56.6737,12.9242,24,5,66.745,5
Hanö A,56.0131,14.8488,55,5,42.385,5
Härnösand,62.628,17.9471,8,5,63.360833333,5
Hässleby,57.6167,15.5831,140,5,52.011666667,5
Hemavan D,65.8224,15.0885,475,5,67.945,5
Hemse,57.2438,18.3835,25,5,49.37,5
Hoburg D,56.922,18.1504,38,4,38.054166667,4
Holmön D,63.7918,20.8606,15,5,53.187,5
Jokkmokk,66.6135,19.8316,240,5,50.1675,5
Junsele A,63.6849,16.9531,214,5,45.142,5
Kalmar D,56.6622,16.282,2,5,44.038333333,5
Karlshamn,56.1813,14.8517,50,5,48.891666667,5
Kasa D,63.3266,19.0532,30,3,68.869444444,3
Katterjåkk,68.4218,18.1698,515,5,69.945,5
Kävsjö D,57.3222,13.9264,170,5,66.961666667,5
Kilagården,58.3565,13.2537,85,5,48.121666667,5
Klippan,56.1391,13.2516,55,5,63.433333333,5
Klippen,65.8976,17.1126,505,4,53.341666667,4
Kristianstad,56.0133,14.2896,10,5,49.696,5
Kvikkjokk-Årrenjarka,66.8834,18.0226,314,3,47.819444444,3
Landsort,58.743,17.8699,4,5,40.581666667,5
Leksand,60.7256,15.0167,175,5,50.711333333,5
Linköping D,58.4214,15.7372,50,5,49.18,5
Ljungby A,56.8526,13.8822,148,5,57.103666667,5
Ljusnedal,62.5493,12.6043,585,5,48.6685,5
Lövsta,60.4086,17.884,25,5,50.47,5
Lund,55.693,13.229,25,5,55.553,5
Malung,60.6717,13.7058,310,4,69.891875,4
Nyhammar,60.2915,14.9804,190,5,53.756666667,5
Ölands Norra Udde,57.3689,17.1008,4,5,32.56,5
Ölands Södra Udde A,56.1977,16.4036,2,5,39.962,5
Örskär A,60.5262,18.3766,8,5,38.356666667,5
Östanvik,61.1684,15.2223,220,5,52.945,5
Övertorneå,66.3862,23.622,75,5,58.135,5
Piteå,65.2636,21.4776,5,5,58.191666667,5
Röbäcksdalen,63.813,20.2398,10,3,50.619444444,3
Rödkallen A,65.3131,22.3753,1,5,41.446666667,5
Särna D,61.6912,13.1866,425,5,53.768333333,5
Sidsjö D,62.380638889,17.285511111,60,4,52.085416667,4
Skillingaryd,57.4302,14.1004,180,5,71.281666667,5
Skövde,58.3949,13.8436,150,5,59.818333333,5
Skultuna,59.7141,16.4362,40,5,53.026666667,5
Söraby,57.0345,14.9446,180,5,55.691666667,5
Sörbytorp,58.8121,14.6526,185,5,63.401666667,5
Stockholm,59.342,18.0575,44,5,49.63,5
Sveg A,62.0471,14.41,362,5,45.933333333,5
Svenska Högarna,59.4445,19.5059,12,5,38.653333333,5
Trelleborg,55.381,13.1279,5,4,47.783333333,4
Ulricehamn,57.8052,13.4083,175,5,72.519166667,5
Ulrika,58.1282,15.4353,180,4,58.391666667,4
Ungsberg,57.5103,15.919,155,5,49.746666667,5
Uplo,58.1001,12.6568,115,4,80.039583333,4
Uppsala,59.8585,17.6252,13,5,47.935,5
Varberg,57.1084,12.2741,20,5,66.58,5
Västerås,59.5977,16.6034,10,5,49.441666667,5
Växjö A,56.8464,14.8324,199,5,51.929,5
Vinga A,57.6324,11.6077,12,5,49.047333333,5
Visby D,57.6477,18.3494,50,4,41.185416667,4
Ystad,55.4325,13.8067,20,5,73.431666667,5
